New ward code,Year,Population,Square Kilometres,Population per square kilometre
E05014024,2017,16350.333333333334,1.341,12616.038507712472
E05014024,2018,16502.0,1.341,12735.207895598358
E05014024,2019,16637.666666666668,1.341,12842.568283593753
E05014024,2020,16755.333333333332,1.341,12929.804758570128
E05014024,2021,16926.666666666668,1.341,13057.819378924172
E05014024,2022,17114.0,1.341,13199.184417513396
E05014024,2023,17284.666666666668,1.341,13326.622938031383
E05014024,2024,17449.666666666668,1.341,13449.72444981558
E05014024,2025,17597.0,1.341,13559.048125087182
E05014025,2013,15460.333333333334,1.865,9253.44541401219
E05014025,2014,15456.666666666666,1.865,9259.011633912585
E05014025,2015,15524.0,1.865,9310.577718690829
E05014025,2016,15389.333333333334,1.865,9238.243329032462
E05014025,2017,15420.666666666666,1.865,9258.776078822475
E05014025,2018,15532.0,1.865,9325.178640253853
E05014025,2019,15621.0,1.865,9378.478034850437
E05014025,2020,15751.666666666666,1.865,9439.823595911583
E05014025,2021,15934.333333333334,1.865,9529.873238353628
E05014025,2022,16137.333333333334,1.865,9632.123657819977
E05014025,2023,16330.666666666666,1.865,9727.577027382527
E05014025,2024,16521.666666666668,1.865,9821.410866154134
E05014025,2025,16628.666666666668,1.865,9886.5174197625
E05014026,2013,15656.5,2.0854999999999997,8477.432620507607
